きょうのはる さくら咲く声 ひとしずく
今日桜 風に揺れ舞う 過ぎゆく日
今日桜 散りゆく道の 風が鳴く
今日の朝 桜舞い散る 光だけ
今日の朝 桜散りゆく 瞬間かな
今日の朝 桜散りけり 静かなり
今日の朝 桜散りゆく 風と舞う
今日の朝 桜舞う風 今日の雨
今日の夜 蛍の川に 光すら
本日の 桜散るかな 静けさや
今日の朝 霞む桜の 風やさし
今日の朝 春の花咲く 笑顔咲く
今日雨 桜散り風 今日行く
今日の朝 桜散る風 今日も過ぎ
今日の朝 桜舞う風 光りゆく
今日の朝 桜散る道 光揺れる
今日の朝 桜散る風 笑う影
今日の風 春の雨降る 雲はさり
今日の朝 桜舞い散る 静かなり
今日の朝 桜散る音 静かなり
今日の朝 桜舞い散る 静かにし
今日の雨 梅雨の滴が 蛍舞う
今日の朝 桜舞い散る 静かなり
今日の雨 声は遠くに 雨の音
今日の春 風桜揺れ 春の笑み
今日桜 風に揺れたる 静かな日
今日の朝 桜揺れ道 風の音
今の雲 雪の音降る 今の息
今日の朝 桜舞い散る 静かな風
今日の朝 桜散る音 風に乗り
今日の朝 桜舞い散る 静かなる
今日の空 桜舞う風 春の声
今日桜 散りゆく風の 春の影
今日の梅 風香る春 蝶ひらく
今日の朝 桜散る風 影も揺れ
今日の朝 桜散り舞う 光の路
今日の朝 桜散る道 風の音
今日桜 風に舞うはや 薄き影
今日の空 蝉の声遠く 夏過ぎぬ
今日の春 花咲く道に 風の歌
今日の朝 桜咲く道 風が鳴く
今日の朝 桜舞い散る 今日も笑む
今日の朝 桜舞う道 風に揺れ
今日の朝 桜咲く風 今日も笑む
今日の朝 桜舞う風 今日も去る
今日の朝 桜舞い散る 春の風
今日の朝 桜の雨が 濡れし靴
今日の朝 桜霞むや 静かなり
今日の朝 桜舞い散る 静かなり
今日の朝 桜舞い散る やがて雨
今日桜 風に舞い散る 春の息
今日の朝 桜舞う風 春の息
今日の朝 桜散る道 今日と行く
今日の朝 霞む桜の 風に揺れ
今日の朝 桜舞う風 花の声
今日の朝 蝉の声聞く 星光る
今日の朝 ひらく桜の 笑顔かな
今日の青 桜舞う道 心軽し
今日の朝 梅の花咲く 息ひとつ
今日の春 桜散る音 静かなり
今日の朝 桜舞い散る 静かなり
今日の春 花びらの雨 風の声
今日の朝 風舞う桜 花散るや
今日の空 朝顔のつる 光舞う
今日春 花揺れて散る 道は雨
今日の朝 桜散る風 ひと息し
今日の朝 桜散る空 今日も行く
今日の朝 桜舞う道 今日の笑み
夏の一 蝉騒ぐ声 夏の風
二日蝉の声 吹く夏風止まる 海の星夜に
八日蝉 川の光や 夏の風
八月四日 蝉の声聞く 蝉時雨
夏の海 潮風がひく 蛍舞う
蝉の声 潮騒の音 六日かな
蝉時雨 八月七日 風鳴く
